sku,gtin,autoridad_gtin,nombre,presentacion,capacidad,categoria,units_per_pack,image_url,origen_imagen,derechos,referencia_derechos,tipo,clasificacion,motivo
aquarius-manzana-1500ml,,,Aquarius Manzana,"Botella PET · 1,5 L · Unidad","1,5 L",Aguas saborizadas,1,assets/products/aquarius-manzana-1500ml-5a06bd9176e27828-d3c0af1d8c4494d9.webp,fabricante · coca-colaentucasa.com,LICENCIA_COMERCIAL,TABA-AUT-2026-08-001,REAL,OFFICIAL_EXACT,
aquarius-pera-1500ml,,,Aquarius Pera,"Botella PET · 1,5 L · Unidad","1,5 L",Aguas saborizadas,1,assets/products/aquarius-pera-1500ml-d8c1230b1227373f-2925d0553fe3f194.webp,fabricante · coca-colaentucasa.com,LICENCIA_COMERCIAL,TABA-AUT-2026-08-001,REAL,OFFICIAL_EXACT,
aquarius-pomelo-2250ml,,,Aquarius Pomelo,"Botella PET · 2,25 L · Unidad","2,25 L",Aguas saborizadas,1,assets/products/aquarius-pomelo-2250ml-8de7c8de5e780020-f788300784447191.webp,fabricante · coca-colaentucasa.com,LICENCIA_COMERCIAL,TABA-AUT-2026-08-001,REAL,OFFICIAL_EXACT,
benedictino-sin-gas-2250ml,,,Benedictino,"Botella PET · 2,25 L · Unidad","2,25 L",Aguas,1,assets/products/benedictino-sin-gas-2250ml-8291602e84de68e9-b3100a865b922f28.webp,fabricante · coca-colaentucasa.com,LICENCIA_COMERCIAL,TABA-AUT-2026-08-001,REAL,OFFICIAL_EXACT,
coca-cola-original-2250ml,7790895000997,catalog/gondola-retail-final-proposal.mjs (enriquecimiento propuesto),Coca-Cola,"Botella PET · 2,25 L · Unidad","2,25 L",Gaseosas,1,assets/products/coca-cola-original-2250ml-97dc25e8399a5775-adb8042ea9716cb9.webp,fabricante · coca-colaentucasa.com,LICENCIA_COMERCIAL,TABA-AUT-2026-08-001,REAL,OFFICIAL_EXACT,
coca-cola-original-botella-pet-500-ml-pack-x12,,,Coca-Cola Original,Botella PET · 500 ml · Pack x12,500 ml,Gaseosas,12,assets/products/coca-cola-original-botella-pet-500-ml-pack-x12-da9d9f1d872c1e49-75b52ee33dad073c.webp,fabricante · andinacocacolaar.vteximg.com.br,LICENCIA_COMERCIAL,TABA-AUT-2026-08-001,REAL,OFFICIAL_EXACT,
coca-cola-original-lata-354ml,7790895000232,catalog/gondola-retail-final-proposal.mjs (enriquecimiento propuesto),Coca-Cola,Lata · 354 ml · Unidad,354 ml,Gaseosas,1,,proveedor_aprobado · jumboargentina.vtexassets.com,,TABA-AUT-2026-08-001,FALLBACK,BLOCKED_IDENTITY,el SKU no declara imagen; la tarjeta muestra el recurso propio de TABA
coca-cola-original-pet-1500ml,7790895000430,catalog/gondola-retail-final-proposal.mjs,Coca-Cola Original,"Botella PET · 1,5 L · Unidad","1,5 L",Gaseosas,1,,proveedor_aprobado · ardiaprod.vtexassets.com,,TABA-AUT-2026-08-001,FALLBACK,BLOCKED_IDENTITY,el SKU no declara imagen; la tarjeta muestra el recurso propio de TABA
coca-cola-zero-2250ml,7790895067570,catalog/gondola-retail-final-proposal.mjs (enriquecimiento propuesto),Coca-Cola Zero,"Botella PET · 2,25 L · Unidad","2,25 L",Gaseosas,1,assets/products/coca-cola-zero-2250ml-4ce84243eb65d14a-309bbcc731498df7.webp,fabricante · coca-colaentucasa.com,LICENCIA_COMERCIAL,TABA-AUT-2026-08-001,REAL,OFFICIAL_EXACT,
coca-cola-zero-botella-pet-500-ml-pack-x12,,,Coca-Cola Zero,Botella PET · 500 ml · Pack x12,500 ml,Gaseosas,12,assets/products/coca-cola-zero-botella-pet-500-ml-pack-x12-ab4d9e31abe096e0-7a626dec1b48f442.webp,fabricante · andinacocacolaar.vteximg.com.br,LICENCIA_COMERCIAL,TABA-AUT-2026-08-001,REAL,OFFICIAL_EXACT,
coca-cola-zero-lata-354ml,7790895067587,catalog/gondola-retail-final-proposal.mjs (enriquecimiento propuesto),Coca-Cola Zero,Lata · 354 ml · Unidad,354 ml,Gaseosas,1,,proveedor_aprobado · www.espaciovino.com.ar,,TABA-AUT-2026-08-001,FALLBACK,BLOCKED_IDENTITY,el SKU no declara imagen; la tarjeta muestra el recurso propio de TABA
fanta-naranja-2250ml,7790895001017,catalog/gondola-retail-final-proposal.mjs (enriquecimiento propuesto),Fanta Naranja,"Botella PET · 2,25 L · Unidad","2,25 L",Gaseosas,1,,proveedor_aprobado · jumboargentina.vtexassets.com,,TABA-AUT-2026-08-001,FALLBACK,BLOCKED_IDENTITY,el SKU no declara imagen; la tarjeta muestra el recurso propio de TABA
gatorade-cool-blue-500ml,,,Gatorade Cool Blue,Botella PET · 500 ml · Unidad,500 ml,Isotónicas,1,assets/products/gatorade-cool-blue-500ml-e3fcbd3e1e29bb61-f138bb4b00238c71.webp,distribuidor_oficial · boulevard-sa.com.ar,LICENCIA_COMERCIAL,TABA-AUT-2026-08-001,REAL,AUTHORIZED_EXACT,
gatorade-manzana-1250ml,,,Gatorade Manzana,"Botella PET · 1,25 L · Unidad","1,25 L",Isotónicas,1,assets/products/gatorade-manzana-1250ml-64efd055975ef241-67bbe43a8a884939.webp,distribuidor_oficial · boulevard-sa.com.ar,LICENCIA_COMERCIAL,TABA-AUT-2026-08-001,REAL,AUTHORIZED_EXACT,
monster-green-zero-473ml,,,Monster Green Zero,Lata · 473 ml · Unidad,473 ml,Energizantes,1,assets/products/monster-green-zero-473ml-c238e9bf28582e15-36ea5aaa51d7906e.webp,fabricante · web-assests.monsterenergy.com,LICENCIA_COMERCIAL,TABA-AUT-2026-08-001,REAL,OFFICIAL_EXACT,
paso-de-los-toros-pomelo-1500ml,,,Paso de los Toros Pomelo,"Botella PET · 1,5 L · Unidad","1,5 L",Mixers,1,assets/products/paso-de-los-toros-pomelo-1500ml-07e30d4119649232-5ee73401ead32b21.webp,distribuidor_oficial · boulevard-sa.com.ar,LICENCIA_COMERCIAL,TABA-AUT-2026-08-001,REAL,AUTHORIZED_EXACT,
paso-de-los-toros-tonica-1500ml,,,Paso de los Toros Tónica,"Botella PET · 1,5 L · Unidad","1,5 L",Mixers,1,assets/products/paso-de-los-toros-tonica-1500ml-3a05ed21abc4e380-f551a02eb264272c.webp,distribuidor_oficial · boulevard-sa.com.ar,LICENCIA_COMERCIAL,TABA-AUT-2026-08-001,REAL,AUTHORIZED_EXACT,
pepsi-black-1500ml,,,Pepsi Black,"Botella PET · 1,5 L · Unidad","1,5 L",Gaseosas,1,,proveedor_aprobado · jumboargentina.vtexassets.com,,TABA-AUT-2026-08-001,FALLBACK,FALLBACK,el SKU no declara imagen; la tarjeta muestra el recurso propio de TABA
pepsi-original-2000ml,,,Pepsi,Botella PET · 2 L · Unidad,2 L,Gaseosas,1,,proveedor_aprobado · jumboargentina.vtexassets.com,,TABA-AUT-2026-08-001,FALLBACK,FALLBACK,el SKU no declara imagen; la tarjeta muestra el recurso propio de TABA
powerade-mountain-blast-500ml,,,Powerade Mountain Blast,Botella PET · 500 ml · Unidad,500 ml,Isotónicas,1,,proveedor_aprobado · ardiaprod.vtexassets.com,,TABA-AUT-2026-08-001,FALLBACK,BLOCKED_IDENTITY,el SKU no declara imagen; la tarjeta muestra el recurso propio de TABA
red-bull-original-250ml,,,Red Bull,Lata · 250 ml · Unidad,250 ml,Energizantes,1,,fabricante · www.redbull.com,,TABA-AUT-2026-08-001,FALLBACK,FALLBACK,el SKU no declara imagen; la tarjeta muestra el recurso propio de TABA
red-bull-sin-azucar-250ml,,,Red Bull Sugarfree,Lata · 250 ml · Unidad,250 ml,Energizantes,1,,fabricante · www.redbull.com,,TABA-AUT-2026-08-001,FALLBACK,FALLBACK,el SKU no declara imagen; la tarjeta muestra el recurso propio de TABA
seven-up-original-2000ml,,,7UP,Botella PET · 2 L · Unidad,2 L,Gaseosas,1,,proveedor_aprobado · jumboargentina.vteximg.com.br,,TABA-AUT-2026-08-001,FALLBACK,FALLBACK,el SKU no declara imagen; la tarjeta muestra el recurso propio de TABA
soda-manaos-sifon-2000ml,,,Soda Manaos,Sifón · 2 L · Unidad,2 L,Mixers,1,assets/products/soda-manaos-sifon-2000ml-b92e160958368c0d-3700b6c8cb4ec1b4.webp,fabricante · www.manaosargentina.com,LICENCIA_COMERCIAL,TABA-AUT-2026-08-001,REAL,OFFICIAL_EXACT,
speed-original-473ml,,,Speed,Lata · 473 ml · Unidad,473 ml,Energizantes,1,,proveedor_aprobado · distribuidoramif.com.ar,,TABA-AUT-2026-08-001,FALLBACK,FALLBACK,el SKU no declara imagen; la tarjeta muestra el recurso propio de TABA
speed-zero-473ml,,,Speed Zero,Lata · 473 ml · Unidad,473 ml,Energizantes,1,,proveedor_aprobado · distribuidoramif.com.ar,,TABA-AUT-2026-08-001,FALLBACK,FALLBACK,el SKU no declara imagen; la tarjeta muestra el recurso propio de TABA
sprite-botella-pet-500-ml-pack-x12,,,Sprite,Botella PET · 500 ml · Pack x12,500 ml,Gaseosas,12,assets/products/sprite-botella-pet-500-ml-pack-x12-07620ef3d3aa792c-09a508b8102bd8a5.webp,fabricante · andinacocacolaar.vteximg.com.br,LICENCIA_COMERCIAL,TABA-AUT-2026-08-001,REAL,OFFICIAL_EXACT,
sprite-original-2250ml,7790895001000,catalog/gondola-retail-final-proposal.mjs (enriquecimiento propuesto),Sprite,"Botella PET · 2,25 L · Unidad","2,25 L",Gaseosas,1,assets/products/sprite-original-2250ml-99d83c94dac255ca-3898f9d83fdf293f.webp,fabricante · coca-colaentucasa.com,LICENCIA_COMERCIAL,TABA-AUT-2026-08-001,REAL,OFFICIAL_EXACT,
