sku,brand,name,price,regular_price,price_status,publication_status,notes
"red-bull-original-lata-250ml-pack-4","Red Bull","Red Bull Energy Drink","","","pending","","Precio próximamente. Producto bloqueado para carrito y checkout."
"coca-cola-original-2250ml","Coca-Cola","Coca-Cola Sabor Original","","","pending","blocked","Precio próximamente. Producto bloqueado para carrito y checkout."
"coca-cola-sin-azucar-2250ml","Coca-Cola","Coca-Cola Sin Azúcar","","","pending","blocked","Precio próximamente. Producto bloqueado para carrito y checkout."
"sprite-sin-azucar-600ml","Sprite","Sprite","","","pending","blocked","Precio próximamente. Producto bloqueado para carrito y checkout."
"fanta-naranja-2250ml","Fanta","Fanta Naranja","","","pending","blocked","Precio próximamente. Producto bloqueado para carrito y checkout."
"pepsi-black-1500ml","Pepsi","Pepsi Black","","","pending","blocked","Precio próximamente. Producto bloqueado para carrito y checkout."
"schweppes-tonica-354ml","Schweppes","Schweppes Tónica","","","pending","blocked","Precio próximamente. Producto bloqueado para carrito y checkout."
"schweppes-pomelo-sin-azucar-2250ml","Schweppes","Schweppes Pomelo","","","pending","blocked","Precio próximamente. Producto bloqueado para carrito y checkout."
"schweppes-ginger-ale-310ml","Schweppes","Schweppes Ginger Ale","","","pending","blocked","Precio próximamente. Producto bloqueado para carrito y checkout."
"paso-de-los-toros-pomelo-1500ml","Paso de los Toros","Paso de los Toros Pomelo","","","pending","blocked","Precio próximamente. Producto bloqueado para carrito y checkout."
"paso-de-los-toros-tonica-1500ml","Paso de los Toros","Paso de los Toros Tónica","","","pending","blocked","Precio próximamente. Producto bloqueado para carrito y checkout."
"soda-ivess-1500ml","Ivess","Soda Ivess","","","pending","blocked","Precio próximamente. Producto bloqueado para carrito y checkout."
"britvic-ginger-beer-200ml","Britvic","Britvic Ginger Beer","","","pending","blocked","Precio próximamente. Producto bloqueado para carrito y checkout."
"villavicencio-sin-gas-500ml","Villavicencio","Villavicencio","","","pending","blocked","Precio próximamente. Producto bloqueado para carrito y checkout."
"eco-de-los-andes-sin-gas-2000ml","Eco de los Andes","Eco de los Andes","","","pending","blocked","Precio próximamente. Producto bloqueado para carrito y checkout."
"glaciar-sin-gas-1500ml","Glaciar","Glaciar","","","pending","blocked","Precio próximamente. Producto bloqueado para carrito y checkout."
"glaciar-con-gas-1500ml","Glaciar","Glaciar","","","pending","blocked","Precio próximamente. Producto bloqueado para carrito y checkout."
"levite-manzana-2250ml","Levité","Levité","","","pending","blocked","Precio próximamente. Producto bloqueado para carrito y checkout."
"aquarius-pera-2200ml","Aquarius","Aquarius","","","pending","blocked","Precio próximamente. Producto bloqueado para carrito y checkout."
"h2oh-limon-1500ml","H2OH!","H2OH!","","","pending","blocked","Precio próximamente. Producto bloqueado para carrito y checkout."
"red-bull-energy-drink-355ml","Red Bull","Red Bull Energy Drink","","","pending","blocked","Precio próximamente. Producto bloqueado para carrito y checkout."
"monster-mango-loco-473ml","Monster","Monster Mango Loco","","","pending","blocked","Precio próximamente. Producto bloqueado para carrito y checkout."
